Demand,Penetration,Travel Time,Run,Waiting Time,Time Loss,Waiting Count,Average Speed,Crossing,Following,Merging,RTT
Low,Control,124,4,3,20.51,1,18.38,0,0,0,121
Low,Control,129,5,2,25.44,1,17.01,0,1,0,127
Low,Control,137,6,0,33.65,0,15.59,0,2,0,137
Low,Control,133,7,2,29.32,1,16.49,0,2,0,131
Low,Control,163,8,11,59.28,2,12.88,0,2,0,152
Low,Control,151,9,8,47.4,2,15.29,1,2,0,143
Low,Control,137,10,5,33.67,2,16.6,0,3,0,132
Low,Control,439,11,303,335.66,3,0.0,0,3,0,136
Low,Control,140,12,4,36.46,1,15.8,0,3,0,136
Low,Control,165,13,18,61.54,3,13.63,1,2,0,147
Low,Control,132,14,6,28.32,2,18.23,0,3,0,126
Low,Control,144,15,0,40.99,0,14.65,0,2,0,144
Low,Control,149,16,10,45.83,3,16.05,5,2,0,139
Low,Control,143,17,5,39.23,1,15.57,0,2,0,138
Low,Control,151,18,8,47.25,1,15.29,0,1,0,143
Low,Control,141,19,2,37.22,1,15.88,0,2,0,139
Low,Control,131,20,2,27.46,1,16.24,0,1,0,129
Low,Control,145,21,2,41.16,2,15.27,0,2,0,143
Low,Control,121,22,1,17.23,1,19.18,0,1,0,120
Low,Control,139,23,4,35.9,1,16.03,0,1,0,135
Low,Control,132,24,5,28.64,2,17.82,0,2,0,127
Low,Control,138,25,5,34.3,2,16.13,0,1,0,133
Low,Control,147,26,3,43.58,2,15.37,0,4,0,144
Low,Control,122,27,0,18.42,0,17.58,0,1,0,122
Low,Control,153,28,7,49.22,2,15.31,0,3,0,146
Low,Control,121,29,0,18.1,0,18.9,2,1,0,121
Low,Half,129,0,2,25.57,2,17.88,0,2,0,127
Low,Half,146,1,6,42.28,2,16.22,0,1,0,140
Low,Half,131,2,2,27.4,1,16.61,0,2,0,129
Low,Half,163,3,18,59.68,2,14.21,0,3,0,145
Low,Half,131,4,3,27.62,1,16.59,0,3,0,128
Low,Half,133,5,4,29.36,2,16.64,0,2,0,129
Low,Half,127,6,2,23.07,1,18.22,1,1,0,125
Low,Half,137,7,2,33.21,1,16.09,0,3,0,135
Low,Half,121,8,0,17.09,0,19.21,0,1,0,121
Low,Half,138,9,7,34.05,3,16.44,0,1,0,131
Low,Half,137,10,4,33.82,2,17.55,0,2,0,133
Low,Half,160,11,4,56.94,1,12.21,0,2,0,156
Low,Half,128,12,3,24.54,1,18.95,0,2,0,125
Low,Half,131,13,1,28.09,1,16.83,0,1,0,130
Low,Half,136,14,4,32.71,1,15.51,0,1,0,132
Low,Half,159,15,15,56.17,3,13.27,0,2,0,144
Low,Half,121,16,2,17.56,1,19.18,0,1,0,119
Low,Half,129,17,1,25.02,1,18.94,0,1,0,128
